lap,distance_m,time_s,speed_kmh,throttle,brake,steering_deg,gear
baseline,242.667,3.5063,231.375,0.0,1.0,4.662,6
baseline,247.333,3.5789,229.328,0.0,1.0,4.629,6
baseline,252.0,3.6522,227.164,0.0,1.0,4.615,6
baseline,256.667,3.7261,224.885,0.0,1.0,4.617,5
baseline,261.333,3.8008,222.491,0.0,1.0,4.635,5
baseline,266.0,3.8763,219.986,0.0,1.0,4.666,5
baseline,270.667,3.9527,217.372,0.0,1.0,4.706,5
baseline,275.333,4.03,214.654,0.0,1.0,4.755,5
baseline,280.0,4.1082,211.836,0.0,1.0,4.809,5
baseline,284.667,4.1876,208.927,0.0,1.0,4.865,5
baseline,289.333,4.268,205.932,0.0,1.0,4.92,5
baseline,294.0,4.3495,202.86,0.0,1.0,4.972,5
baseline,298.667,4.4324,199.721,0.0,1.0,5.017,5
baseline,303.333,4.5165,196.526,0.0,1.0,5.053,5
baseline,308.0,4.602,193.284,0.0,1.0,5.076,5
baseline,312.667,4.6889,190.01,0.0,1.0,5.083,4
baseline,317.333,4.7773,186.716,0.0,1.0,5.072,4
baseline,322.0,4.8673,183.416,0.0,1.0,5.04,4
baseline,326.667,4.9589,180.125,0.0,1.0,4.984,4
baseline,331.333,5.0521,176.858,0.0,1.0,4.902,4
baseline,336.0,5.1471,173.631,0.0,1.0,4.792,4
baseline,340.667,5.2439,170.461,0.0,1.0,4.651,4
baseline,345.333,5.3424,167.363,0.0,1.0,4.477,4
baseline,350.0,5.4428,164.355,0.0,1.0,4.27,4
baseline,354.667,5.545,161.453,0.0,1.0,4.028,4
baseline,359.333,5.6491,158.674,0.0,1.0,3.749,4
baseline,364.0,5.755,156.034,0.0,1.0,3.434,3
baseline,368.667,5.8626,153.548,0.0,1.0,3.081,3
baseline,373.333,5.9721,151.232,0.0,1.0,2.691,3
baseline,378.0,6.0831,149.101,0.0,1.0,2.264,3
baseline,382.667,6.1958,147.167,0.0,1.0,1.801,3
baseline,387.333,6.31,145.443,0.0,0.9193,1.303,3
baseline,392.0,6.4255,143.942,0.0,0.7859,0.77,3
baseline,396.667,6.5422,142.671,0.0,0.6471,0.205,3
baseline,401.333,6.66,141.641,0.0,0.5035,-0.391,3
baseline,406.0,6.7786,140.859,0.0,0.3562,-1.016,3
baseline,410.667,6.8978,140.331,0.0,0.2059,-1.666,3
baseline,415.333,7.0175,140.059,0.0,0.0537,-2.34,3
baseline,420.0,7.1375,140.048,0.72,0.0,-3.033,3
baseline,424.667,7.2575,140.297,0.72,0.0,-3.744,3
baseline,429.333,7.3772,140.807,0.72,0.0,-4.468,3
baseline,434.0,7.4965,141.573,0.72,0.0,-5.202,3
baseline,438.667,7.6152,142.593,0.72,0.0,-5.942,3
baseline,443.333,7.733,143.86,0.72,0.0,-6.683,3
baseline,448.0,7.8498,145.367,0.72,0.0,-7.423,3
baseline,452.667,7.9653,147.105,0.72,0.0,-8.157,3
baseline,457.333,8.0795,149.064,0.72,0.0,-8.88,3
baseline,462.0,8.1923,151.232,0.72,0.0,-9.588,3
baseline,466.667,8.3033,153.597,0.72,0.0,-10.278,3
baseline,471.333,8.4127,156.145,0.72,0.0,-10.945,3
baseline,476.0,8.5203,158.862,0.72,0.0,-11.585,4
baseline,480.667,8.6261,161.732,0.72,0.0,-12.194,4
baseline,485.333,8.7299,164.739,0.72,0.0,-12.768,4
baseline,490.0,8.8319,167.867,1.0,0.0,-13.304,4
baseline,494.667,8.932,171.099,1.0,0.0,-13.799,4
baseline,499.333,9.0302,174.419,1.0,0.0,-14.248,4
baseline,504.0,9.1265,177.81,1.0,0.0,-14.649,4
baseline,508.667,9.221,181.254,1.0,0.0,-15.0,4
baseline,513.333,9.3137,184.736,1.0,0.0,-15.298,4
baseline,518.0,9.4046,188.238,1.0,0.0,-15.541,4
baseline,522.667,9.4939,191.747,1.0,0.0,-15.727,5
baseline,527.333,9.5815,195.246,1.0,0.0,-15.854,5
baseline,532.0,9.6675,198.721,1.0,0.0,-15.923,5
baseline,536.667,9.7521,202.159,1.0,0.0,-15.931,5
baseline,541.333,9.8352,205.547,1.0,0.0,-15.879,5
baseline,546.0,9.9169,208.873,1.0,0.0,-15.767,5
baseline,550.667,9.9973,212.126,1.0,0.0,-15.596,5
baseline,555.333,10.0765,215.297,1.0,0.0,-15.365,5
baseline,560.0,10.1546,218.377,1.0,0.0,-15.076,5
baseline,564.667,10.2315,221.358,1.0,0.0,-14.731,5
baseline,569.333,10.3074,224.232,1.0,0.0,-14.332,5
baseline,574.0,10.3823,226.995,1.0,0.0,-13.88,6
baseline,578.667,10.4563,229.641,1.0,0.0,-13.378,6
baseline,583.333,10.5295,232.167,1.0,0.0,-12.83,6
baseline,588.0,10.6018,234.569,1.0,0.0,-12.237,6
baseline,592.667,10.6735,236.845,1.0,0.0,-11.604,6
baseline,597.333,10.7444,238.994,1.0,0.0,-10.934,6
baseline,602.0,10.8147,241.015,1.0,0.0,-10.231,6
baseline,606.667,10.8844,242.909,1.0,0.0,-9.498,6
baseline,611.333,10.9536,244.676,1.0,0.0,-8.741,6
baseline,616.0,11.0222,246.317,1.0,0.0,-7.962,6
baseline,620.667,11.0904,247.834,1.0,0.0,-7.166,6
baseline,625.333,11.1582,249.229,1.0,0.0,-6.358,6
baseline,630.0,11.2256,250.506,1.0,0.0,-5.542,6
baseline,634.667,11.2927,251.665,1.0,0.0,-4.722,6
baseline,639.333,11.3594,252.712,1.0,0.0,-3.903,6
baseline,644.0,11.4259,253.649,1.0,0.0,-3.088,6
baseline,648.667,11.4922,254.479,1.0,0.0,-2.282,6
baseline,653.333,11.5582,255.207,1.0,0.0,-1.49,6
baseline,658.0,11.624,255.835,1.0,0.0,-0.714,6
baseline,662.667,11.6897,256.367,1.0,0.0,0.042,6
baseline,667.333,11.7552,256.808,1.0,0.0,0.774,6
baseline,672.0,11.8206,257.159,1.0,0.0,1.479,6
baseline,676.667,11.8859,257.426,1.0,0.0,2.154,6
baseline,681.333,11.9512,257.61,1.0,0.0,2.796,6
baseline,686.0,12.0164,257.716,1.0,0.0,3.404,6
baseline,690.667,12.0816,257.746,0.997,0.0,3.975,6
baseline,695.333,12.1468,257.704,0.9614,0.016,4.507,6
baseline,700.0,12.212,257.592,0.0,0.0564,4.999,6
baseline,704.667,12.2772,257.412,0.0,0.0953,5.449,6
baseline,709.333,12.3425,257.168,0.0,0.1327,5.858,6
baseline,714.0,12.4078,256.861,0.0,0.1689,6.225,6
baseline,718.667,12.4732,256.494,0.0,0.2038,6.549,6
baseline,723.333,12.5387,256.068,0.0,0.2376,6.831,6
baseline,728.0,12.6043,255.586,0.0,0.2703,7.072,6
baseline,732.667,12.67,255.049,0.0,0.302,7.273,6
baseline,737.333,12.7359,254.46,0.0,0.3327,7.434,6
baseline,742.0,12.8019,253.818,0.0,0.3625,7.557,6
baseline,746.667,12.8681,253.127,0.0,0.3915,7.645,6
baseline,751.333,12.9345,252.387,0.0,0.4197,7.698,6
baseline,756.0,13.001,251.6,0.0,0.4471,7.72,6
baseline,760.667,13.0678,250.767,0.0,0.4737,7.712,6
baseline,765.333,13.1348,249.889,0.0,0.4995,7.678,6
baseline,770.0,13.202,248.969,0.0,0.5246,7.62,6
baseline,774.667,13.2695,248.006,0.0,0.5488,7.542,6
baseline,779.333,13.3373,247.003,0.0,0.5723,7.445,6
baseline,784.0,13.4053,245.96,0.0,0.595,7.334,6
baseline,788.667,13.4736,244.88,0.0,0.6167,7.211,6
baseline,793.333,13.5422,243.763,0.0,0.6376,7.08,6
baseline,798.0,13.6111,242.612,0.0,0.6576,6.943,6
baseline,802.667,13.6804,241.427,0.0,0.6766,6.804,6
baseline,807.333,13.7499,240.211,0.0,0.6945,6.666,6
baseline,812.0,13.8199,238.966,0.0,0.7114,6.532,6
baseline,816.667,13.8902,237.693,0.0,0.7271,6.404,6
baseline,821.333,13.9609,236.394,0.0,0.7416,6.285,6
baseline,826.0,14.0319,235.071,0.0,0.7547,6.177,6
baseline,830.667,14.1034,233.728,0.0,0.7666,6.083,6
baseline,835.333,14.1753,232.365,0.0,0.777,6.004,6
baseline,840.0,14.2476,230.986,0.0,0.7859,5.943,6
baseline,844.667,14.3203,229.593,0.0,0.7933,5.901,6
baseline,849.333,14.3935,228.188,0.0,0.7991,5.879,6
baseline,854.0,14.4671,226.776,0.0,0.8032,5.877,6
baseline,858.667,14.5412,225.358,0.0,0.8056,5.898,6
baseline,863.333,14.6157,223.937,0.0,0.8062,5.94,5
baseline,868.0,14.6908,222.517,0.0,0.8049,6.004,5
baseline,872.667,14.7663,221.1,0.0,0.8018,6.09,5
baseline,877.333,14.8422,219.691,0.0,0.7967,6.197,5
baseline,882.0,14.9187,218.291,0.0,0.7897,6.325,5
baseline,886.667,14.9957,216.906,0.0,0.7807,6.471,5
baseline,891.333,15.0731,215.537,0.0,0.7697,6.635,5
baseline,896.0,15.1511,214.189,0.0,0.7567,6.814,5
baseline,900.667,15.2295,212.864,0.0,0.7416,7.008,5
baseline,905.333,15.3084,211.567,0.0,0.7245,7.213,5
baseline,910.0,15.3878,210.301,0.0,0.7054,7.428,5
baseline,914.667,15.4677,209.069,0.0,0.6843,7.649,5
baseline,919.333,15.5481,207.875,0.0,0.6612,7.874,5
baseline,924.0,15.6289,206.721,0.0,0.6361,8.1,5
baseline,928.667,15.7102,205.612,0.0,0.6092,8.324,5
baseline,933.333,15.7919,204.55,0.0,0.5804,8.542,5
baseline,938.0,15.874,203.538,0.0,0.5498,8.752,5
baseline,942.667,15.9565,202.58,0.0,0.5175,8.95,5
baseline,947.333,16.0395,201.679,0.0,0.4835,9.132,5
baseline,952.0,16.1228,200.837,0.0,0.448,9.296,5
baseline,956.667,16.2064,200.056,0.0,0.4109,9.439,5
baseline,961.333,16.2904,199.339,0.0,0.3725,9.557,5
baseline,966.0,16.3747,198.689,0.0,0.3328,9.647,5
baseline,970.667,16.4592,198.108,0.0,0.2919,9.706,5
baseline,975.333,16.544,197.597,0.0,0.25,9.732,5
baseline,980.0,16.6291,197.158,0.0,0.2072,9.723,5
baseline,984.667,16.7143,196.792,0.0,0.1635,9.675,5
baseline,989.333,16.7996,196.502,0.0,0.1191,9.587,5
baseline,994.0,16.8851,196.287,0.0,0.0742,9.457,5
baseline,998.667,16.9707,196.149,0.9504,0.0289,9.283,5
baseline,1003.333,17.0564,196.089,0.9892,0.0,9.065,5
baseline,1008.0,17.142,196.106,1.0,0.0,8.801,5
baseline,1012.667,17.2277,196.201,1.0,0.0,8.49,5
baseline,1017.333,17.3133,196.374,1.0,0.0,8.134,5
baseline,1022.0,17.3989,196.624,1.0,0.0,7.731,5
baseline,1026.667,17.4843,196.951,1.0,0.0,7.282,5
baseline,1031.333,17.5696,197.353,1.0,0.0,6.788,5
baseline,1036.0,17.6548,197.831,1.0,0.0,6.25,5
baseline,1040.667,17.7397,198.382,1.0,0.0,5.669,5
baseline,1045.333,17.8244,199.005,1.0,0.0,5.048,5
baseline,1050.0,17.9088,199.698,1.0,0.0,4.388,5
baseline,1054.667,17.9929,200.46,1.0,0.0,3.692,5
baseline,1059.333,18.0767,201.289,1.0,0.0,2.963,5
baseline,1064.0,18.1602,202.181,1.0,0.0,2.203,5
baseline,1068.667,18.2433,203.135,1.0,0.0,1.416,5
baseline,1073.333,18.326,204.148,1.0,0.0,0.606,5
baseline,1078.0,18.4083,205.217,1.0,0.0,-0.224,5
baseline,1082.667,18.4901,206.34,1.0,0.0,-1.07,5
baseline,1087.333,18.5716,207.513,1.0,0.0,-1.928,5
baseline,1092.0,18.6525,208.734,1.0,0.0,-2.793,5
baseline,1096.667,18.733,209.998,1.0,0.0,-3.662,5
baseline,1101.333,18.813,211.303,1.0,0.0,-4.529,5
baseline,1106.0,18.8925,212.646,1.0,0.0,-5.391,5
baseline,1110.667,18.9715,214.023,1.0,0.0,-6.242,5
baseline,1115.333,19.05,215.43,1.0,0.0,-7.08,5
baseline,1120.0,19.128,216.864,1.0,0.0,-7.898,5
baseline,1124.667,19.2055,218.322,1.0,0.0,-8.693,5
baseline,1129.333,19.2824,219.801,1.0,0.0,-9.461,5
baseline,1134.0,19.3588,221.295,1.0,0.0,-10.198,5
baseline,1138.667,19.4348,222.804,1.0,0.0,-10.899,5
baseline,1143.333,19.5102,224.322,1.0,0.0,-11.562,5
baseline,1148.0,19.5851,225.846,1.0,0.0,-12.182,6
baseline,1152.667,19.6594,227.374,1.0,0.0,-12.758,6
baseline,1157.333,19.7333,228.903,1.0,0.0,-13.284,6
baseline,1162.0,19.8067,230.428,1.0,0.0,-13.76,6
baseline,1166.667,19.8796,231.947,1.0,0.0,-14.183,6
baseline,1171.333,19.9521,233.457,1.0,0.0,-14.551,6
baseline,1176.0,20.024,234.956,1.0,0.0,-14.862,6
baseline,1180.667,20.0955,236.44,1.0,0.0,-15.115,6
baseline,1185.333,20.1666,237.907,1.0,0.0,-15.31,6
baseline,1190.0,20.2372,239.354,1.0,0.0,-15.445,6
baseline,1194.667,20.3074,240.78,1.0,0.0,-15.521,6
baseline,1199.333,20.3772,242.181,1.0,0.0,-15.538,6
baseline,1204.0,20.4465,243.556,1.0,0.0,-15.496,6
baseline,1208.667,20.5155,244.902,1.0,0.0,-15.397,6
baseline,1213.333,20.5841,246.219,1.0,0.0,-15.241,6
baseline,1218.0,20.6523,247.503,1.0,0.0,-15.031,6
baseline,1222.667,20.7202,248.753,1.0,0.0,-14.768,6
baseline,1227.333,20.7878,249.969,1.0,0.0,-14.455,6
baseline,1232.0,20.855,251.147,1.0,0.0,-14.094,6
baseline,1236.667,20.9219,252.287,1.0,0.0,-13.689,6
baseline,1241.333,20.9884,253.388,1.0,0.0,-13.241,6
baseline,1246.0,21.0547,254.448,1.0,0.0,-12.755,6
baseline,1250.667,21.1208,255.466,1.0,0.0,-12.234,6
baseline,1255.333,21.1865,256.441,1.0,0.0,-11.681,6
baseline,1260.0,21.252,257.372,1.0,0.0,-11.101,6
baseline,1264.667,21.3173,258.258,1.0,0.0,-10.498,6
baseline,1269.333,21.3824,259.098,1.0,0.0,-9.875,7
baseline,1274.0,21.4472,259.892,1.0,0.0,-9.236,7
baseline,1278.667,21.5119,260.637,1.0,0.0,-8.585,7
baseline,1283.333,21.5763,261.334,1.0,0.0,-7.928,7
baseline,1288.0,21.6406,261.981,1.0,0.0,-7.266,7
baseline,1292.667,21.7047,262.578,1.0,0.0,-6.605,7
baseline,1297.333,21.7687,263.123,1.0,0.0,-5.948,7
baseline,1302.0,21.8326,263.616,1.0,0.0,-5.299,7
baseline,1306.667,21.8963,264.056,1.0,0.0,-4.661,7
baseline,1311.333,21.9599,264.441,1.0,0.0,-4.038,7
baseline,1316.0,22.0234,264.771,1.0,0.0,-3.432,7
baseline,1320.667,22.0869,265.044,1.0,0.0,-2.847,7
baseline,1325.333,22.1503,265.259,1.0,0.0,-2.285,7
baseline,1330.0,22.2136,265.416,1.0,0.0,-1.748,7
baseline,1334.667,22.2769,265.512,1.0,0.0,-1.239,7
baseline,1339.333,22.3402,265.546,1.0,0.0,-0.759,7
baseline,1344.0,22.4034,265.518,0.9696,0.0063,-0.31,7
baseline,1348.667,22.4667,265.425,0.937,0.0447,0.107,7
baseline,1353.333,22.53,265.266,0.0,0.0839,0.492,7
baseline,1358.0,22.5933,265.039,0.0,0.1241,0.844,7
baseline,1362.667,22.6567,264.744,0.0,0.1652,1.163,7
baseline,1367.333,22.7202,264.378,0.0,0.2073,1.448,7
baseline,1372.0,22.7837,263.939,0.0,0.2503,1.702,7
baseline,1376.667,22.8474,263.427,0.0,0.2942,1.923,7
baseline,1381.333,22.9112,262.839,0.0,0.3391,2.114,7
baseline,1386.0,22.9751,262.174,0.0,0.3848,2.275,7
baseline,1390.667,23.0392,261.43,0.0,0.4314,2.409,7
baseline,1395.333,23.1034,260.607,0.0,0.4789,2.517,7
baseline,1400.0,23.1679,259.702,0.0,0.527,2.601,7
baseline,1404.667,23.2326,258.715,0.0,0.5759,2.664,6
baseline,1409.333,23.2975,257.644,0.0,0.6253,2.708,6
baseline,1414.0,23.3627,256.489,0.0,0.6752,2.736,6
baseline,1418.667,23.4282,255.248,0.0,0.7255,2.75,6
baseline,1423.333,23.494,253.922,0.0,0.776,2.753,6
baseline,1428.0,23.5602,252.51,0.0,0.8265,2.749,6
baseline,1432.667,23.6267,251.012,0.0,0.877,2.739,6
baseline,1437.333,23.6937,249.428,0.0,0.9271,2.728,6
baseline,1442.0,23.761,247.76,0.0,0.9768,2.718,6
baseline,1446.667,23.8288,246.007,0.0,1.0,2.711,6
baseline,1451.333,23.8971,244.172,0.0,1.0,2.711,6
baseline,1456.0,23.9659,242.256,0.0,1.0,2.721,6
baseline,1460.667,24.0353,240.261,0.0,1.0,2.742,6
baseline,1465.333,24.1052,238.19,0.0,1.0,2.778,6
baseline,1470.0,24.1757,236.046,0.0,1.0,2.83,6
baseline,1474.667,24.2469,233.832,0.0,1.0,2.901,6
baseline,1479.333,24.3187,231.553,0.0,1.0,2.992,6
baseline,1484.0,24.3913,229.212,0.0,1.0,3.105,6
baseline,1488.667,24.4646,226.815,0.0,1.0,3.242,6
baseline,1493.333,24.5387,224.367,0.0,1.0,3.402,5
baseline,1498.0,24.6135,221.874,0.0,1.0,3.588,5
baseline,1502.667,24.6893,219.342,0.0,1.0,3.799,5
baseline,1507.333,24.7658,216.778,0.0,1.0,4.035,5
baseline,1512.0,24.8433,214.19,0.0,1.0,4.297,5
baseline,1516.667,24.9218,211.583,0.0,1.0,4.583,5
baseline,1521.333,25.0012,208.968,0.0,1.0,4.894,5
baseline,1526.0,25.0816,206.351,0.0,1.0,5.227,5
baseline,1530.667,25.163,203.742,0.0,1.0,5.582,5
baseline,1535.333,25.2454,201.149,0.0,1.0,5.956,5
baseline,1540.0,25.329,198.581,0.0,1.0,6.348,5
baseline,1544.667,25.4136,196.048,0.0,1.0,6.756,5
baseline,1549.333,25.4993,193.559,0.0,1.0,7.177,5
baseline,1554.0,25.5861,191.122,0.0,1.0,7.608,5
baseline,1558.667,25.674,188.749,0.0,1.0,8.046,4
baseline,1563.333,25.763,186.448,0.0,1.0,8.489,4
baseline,1568.0,25.8531,184.228,0.0,1.0,8.932,4
baseline,1572.667,25.9443,182.098,0.0,1.0,9.374,4
baseline,1577.333,26.0365,180.068,0.0,1.0,9.809,4
baseline,1582.0,26.1298,178.145,0.0,1.0,10.235,4
baseline,1586.667,26.2241,176.339,0.0,0.9969,10.647,4
baseline,1591.333,26.3194,174.656,0.0,0.9219,11.043,4
baseline,1596.0,26.4156,173.104,0.0,0.8427,11.419,4
baseline,1600.667,26.5126,171.691,0.0,0.7598,11.77,4
baseline,1605.333,26.6105,170.421,0.0,0.6733,12.094,4
baseline,1610.0,26.7091,169.301,0.0,0.5837,12.387,4
baseline,1614.667,26.8083,168.337,0.0,0.4914,12.646,4
baseline,1619.333,26.9081,167.531,0.0,0.3968,12.867,4
baseline,1624.0,27.0084,166.887,0.0,0.3003,13.048,4
baseline,1628.667,27.109,166.41,0.0,0.2024,13.187,4
baseline,1633.333,27.21,166.099,0.0,0.1036,13.28,4
baseline,1638.0,27.3111,165.957,0.9713,0.0043,13.325,4
baseline,1642.667,27.4124,165.984,1.0,0.0,13.321,4
baseline,1647.333,27.5136,166.18,1.0,0.0,13.265,4
baseline,1652.0,27.6147,166.544,1.0,0.0,13.157,4
baseline,1656.667,27.7156,167.072,1.0,0.0,12.996,4
baseline,1661.333,27.8161,167.764,1.0,0.0,12.781,4
baseline,1666.0,27.9163,168.614,1.0,0.0,12.511,4
baseline,1670.667,28.0159,169.62,1.0,0.0,12.188,4
baseline,1675.333,28.1149,170.776,1.0,0.0,11.81,4
baseline,1680.0,28.2133,172.076,1.0,0.0,11.38,4
baseline,1684.667,28.3109,173.514,1.0,0.0,10.897,4
baseline,1689.333,28.4078,175.084,1.0,0.0,10.365,4
baseline,1694.0,28.5037,176.778,1.0,0.0,9.784,4
baseline,1698.667,28.5987,178.588,1.0,0.0,9.157,4
baseline,1703.333,28.6928,180.507,1.0,0.0,8.486,4
baseline,1708.0,28.7859,182.525,1.0,0.0,7.774,4
baseline,1712.667,28.8779,184.634,1.0,0.0,7.024,4
baseline,1717.333,28.9689,186.825,1.0,0.0,6.241,4
baseline,1722.0,29.0588,189.089,1.0,0.0,5.426,4
baseline,1726.667,29.1477,191.417,1.0,0.0,4.584,5
baseline,1731.333,29.2355,193.798,1.0,0.0,3.72,5
baseline,1736.0,29.3221,196.225,1.0,0.0,2.837,5
baseline,1740.667,29.4078,198.687,1.0,0.0,1.939,5
baseline,1745.333,29.4923,201.175,1.0,0.0,1.031,5
baseline,1750.0,29.5758,203.681,1.0,0.0,0.118,5
baseline,1754.667,29.6583,206.195,1.0,0.0,-0.796,5
baseline,1759.333,29.7398,208.71,1.0,0.0,-1.707,5
baseline,1764.0,29.8203,211.217,1.0,0.0,-2.609,5
baseline,1768.667,29.8998,213.709,1.0,0.0,-3.499,5
baseline,1773.333,29.9784,216.177,1.0,0.0,-4.372,5
baseline,1778.0,30.0561,218.616,1.0,0.0,-5.224,5
baseline,1782.667,30.133,221.018,1.0,0.0,-6.051,5
baseline,1787.333,30.209,223.377,1.0,0.0,-6.848,5
baseline,1792.0,30.2842,225.688,1.0,0.0,-7.612,6
baseline,1796.667,30.3587,227.945,1.0,0.0,-8.34,6
baseline,1801.333,30.4324,230.144,1.0,0.0,-9.029,6
baseline,1806.0,30.5054,232.281,1.0,0.0,-9.674,6
baseline,1810.667,30.5777,234.351,1.0,0.0,-10.275,6
baseline,1815.333,30.6494,236.352,1.0,0.0,-10.827,6
baseline,1820.0,30.7204,238.282,1.0,0.0,-11.33,6
baseline,1824.667,30.791,240.137,1.0,0.0,-11.782,6
baseline,1829.333,30.8609,241.915,1.0,0.0,-12.181,6
baseline,1834.0,30.9304,243.616,1.0,0.0,-12.526,6
baseline,1838.667,30.9993,245.239,1.0,0.0,-12.817,6
baseline,1843.333,31.0678,246.782,1.0,0.0,-13.053,6
baseline,1848.0,31.1359,248.245,1.0,0.0,-13.235,6
baseline,1852.667,31.2036,249.629,1.0,0.0,-13.363,6
baseline,1857.333,31.2709,250.934,1.0,0.0,-13.437,6
baseline,1862.0,31.3378,252.161,1.0,0.0,-13.46,6
baseline,1866.667,31.4045,253.31,1.0,0.0,-13.431,6
baseline,1871.333,31.4708,254.383,1.0,0.0,-13.354,6
baseline,1876.0,31.5368,255.381,1.0,0.0,-13.23,6
baseline,1880.667,31.6026,256.305,1.0,0.0,-13.062,6
baseline,1885.333,31.6681,257.157,1.0,0.0,-12.852,6
baseline,1890.0,31.7335,257.94,1.0,0.0,-12.603,6
baseline,1894.667,31.7986,258.654,1.0,0.0,-12.317,6
baseline,1899.333,31.8636,259.302,1.0,0.0,-11.999,7
baseline,1904.0,31.9283,259.887,1.0,0.0,-11.652,7
baseline,1908.667,31.993,260.409,1.0,0.0,-11.279,7
baseline,1913.333,32.0575,260.871,1.0,0.0,-10.883,7
baseline,1918.0,32.1219,261.275,1.0,0.0,-10.469,7
baseline,1922.667,32.1862,261.624,1.0,0.0,-10.039,7
baseline,1927.333,32.2504,261.918,1.0,0.0,-9.599,7
baseline,1932.0,32.3146,262.161,1.0,0.0,-9.15,7
baseline,1936.667,32.3786,262.354,1.0,0.0,-8.697,7
baseline,1941.333,32.4427,262.499,1.0,0.0,-8.244,7
baseline,1946.0,32.5067,262.598,1.0,0.0,-7.793,7
baseline,1950.667,32.5707,262.651,1.0,0.0,-7.348,7
baseline,1955.333,32.6346,262.662,0.995,0.0,-6.911,7
baseline,1960.0,32.6986,262.631,0.9745,0.0006,-6.487,7
baseline,1964.667,32.7625,262.56,0.9547,0.0238,-6.077,7
baseline,1969.333,32.8265,262.45,0.9355,0.0464,-5.684,7
baseline,1974.0,32.8905,262.303,0.0,0.0683,-5.309,7
baseline,1978.667,32.9546,262.118,0.0,0.0897,-4.955,7
baseline,1983.333,33.0187,261.898,0.0,0.1104,-4.624,7
baseline,1988.0,33.0828,261.642,0.0,0.1307,-4.316,7
baseline,1992.667,33.147,261.353,0.0,0.1506,-4.033,7
baseline,1997.333,33.2113,261.03,0.0,0.1702,-3.776,7
baseline,2002.0,33.2757,260.675,0.0,0.1894,-3.543,7
baseline,2006.667,33.3401,260.286,0.0,0.2083,-3.337,7
baseline,2011.333,33.4047,259.866,0.0,0.2271,-3.156,7
baseline,2016.0,33.4693,259.414,0.0,0.2456,-3.0,7
